region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,source_file,week_start,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,b_vic,b_yam,h3n2v,a_h5,a_h1,a_unable_to_subtype
National,NA,2015,40,12029,84,43,1.05578,0.698312,0.357469,ICL_NREVSS_Clinical_Labs.csv,2015-09-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,41,13111,116,54,1.29662,0.884753,0.411868,ICL_NREVSS_Clinical_Labs.csv,2015-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,42,13441,97,52,1.10855,0.721672,0.386876,ICL_NREVSS_Clinical_Labs.csv,2015-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,43,13537,98,52,1.10807,0.723942,0.384132,ICL_NREVSS_Clinical_Labs.csv,2015-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,44,14687,97,68,1.12344,0.660448,0.462994,ICL_NREVSS_Clinical_Labs.csv,2015-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,45,15048,122,86,1.38224,0.810739,0.571505,ICL_NREVSS_Clinical_Labs.csv,2015-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,46,15250,84,98,1.19344,0.55082,0.64262300000000006,ICL_NREVSS_Clinical_Labs.csv,2015-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,47,15234,119,92,1.38506,0.781147,0.603912,ICL_NREVSS_Clinical_Labs.csv,2015-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,48,16201,145,81,1.39498,0.895006,0.499969,ICL_NREVSS_Clinical_Labs.csv,2015-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,49,16673,140,106,1.47544,0.839681,0.635758,ICL_NREVSS_Clinical_Labs.csv,2015-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,50,17358,244,192,2.51181,1.40569,1.10612,ICL_NREVSS_Clinical_Labs.csv,2015-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,51,16878,220,166,2.287,1.30347,0.983529,ICL_NREVSS_Clinical_Labs.csv,2015-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2015,52,18865,264,200,2.45958,1.39942,1.06016,ICL_NREVSS_Clinical_Labs.csv,2015-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2016,1,19786,396,184,2.93137,2.00142,0.92995,ICL_NREVSS_Clinical_Labs.csv,2016-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2016,2,18689,571,224,4.25384,3.05527,1.19857,ICL_NREVSS_Clinical_Labs.csv,2016-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2016,3,18798,716,315,5.48463,3.80892,1.67571,ICL_NREVSS_Clinical_Labs.csv,2016-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2016,4,20791,1035,412,6.95974,4.97812,1.98163,ICL_NREVSS_Clinical_Labs.csv,2016-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2016,5,22261,1572,587,9.69858,7.06168,2.6369,ICL_NREVSS_Clinical_Labs.csv,2016-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2016,6,24934,2265,864,12.5491,9.08398,3.46515,ICL_NREVSS_Clinical_Labs.csv,2016-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National,NA,2016,7,27208,3135,1092,15.5359,11.5223,4.01353,ICL_NREVSS_Clinical_Labs.csv,2016-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
